Endpoint Definition,,,,,,,,,,,,
,Name,Address,System Type,,,,,,,,,
PROD_TOURPLAN_DX,http://Tourplan-dx.tourplan.com:8030/TPM/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
PROD_TOURPLAN_DX1,http://tourplan-dx1.tourplan.com:8030/TPM_PRODUCTION/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
PROD_ZA_TPM,http://41.222.38.251:8030/TPM/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
PRODUCTION_US01_TPM,http://client.us.dxservices.tourplan.net:8030/TPM/External/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
PRODUCTION_US01_TPM_BBIreland,http://client.us.dxservices.tourplan.net:8030/TPM/BBIreland/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
PRODUCTION_US01_TPM_eRevMax,http://client.us.dxservices.tourplan.net:8030/TPM/eRevMax/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
PRODUCTION_US01_TPM_MitchellCorp,http://client.us.dxservices.tourplan.net:8030/TPM/MitchellCorp/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
PRODUCTION_US01_TPM_SiteMinder,http://client.us.dxservices.tourplan.net:8030/TPM/SiteMinder/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
PRODUCTION_US01_TPM_STAAH,http://client.us.dxservices.tourplan.net:8030/TPM/STAAH/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
PRODUCTION_US01_TPM_TravelClick,http://client.us.dxservices.tourplan.net:8030/TPM/TravelClick/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
PRODUCTION_ZA01_TPM,http://client.za.dxservices.tourplan.net:8030/TPM/External/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
TPM,http://supplier.link.tourplan.com:8030/TPM/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
TPM_TRAINING,http://supplier.link.tourplan.com:8020/TPM_TRAINING/Services/ExternalSupplier.svc/ws,External Supplier,,,,,,,,,,
TRAIN_TOURPLAN_DX,http://Tourplan-dx.tourplan.com:8020/TPM_TRAINING/Services/ExternalSupplier.svc/ws,External Supplie,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Code,Description,Country,,,,,,,,,,
,Worldwide,,,,,,,,,,,
ADD,Addis Ababa,ET,,,,,,,,,,
BW,Botswana,BW,,,,,,,,,,
CHB,Chobe,BW,,,,,,,,,,
ECP,Eastern Cape,ZA,,,,,,,,,,
FST,Free State,ZA,,,,,,,,,,
GAU,Gauteng,ZA,,,,,,,,,,
KE,Kenya,KE,,,,,,,,,,
KWN,Kwa Zulu Natal,ZA,,,,,,,,,,
LE,Lesotho,LS,,,,,,,,,,
LIM,Limpopo Province,ZA,,,,,,,,,,
LVI,Livingstone,ZM,,,,,,,,,,
MEC,Mauritius East Coast,MU,,,,,,,,,,
MG,Madagascar,MG,,,,,,,,,,
MQP,Mpumulanga,ZA,,,,,,,,,,
MRU,Mauritius,MU,,,,,,,,,,
MW,Malawi,MW,,,,,,,,,,
MWC,Mauritius West Coast,MU,,,,,,,,,,
MZ,Mozambique,MZ,,,,,,,,,,
NA,Namibia,NA,,,,,,,,,,
NCP,Northern Cape,ZA,,,,,,,,,,
NWP,North West Province,ZA,,,,,,,,,,
REU,Reunion,,,,,,,,,,,
RW,Rwanda,RW,,,,,,,,,,
SA,South Africa,ZA,,,,,,,,,,
SEY,Seychelles,,,,,,,,,,,
SZ,Swaziland,SZ,,,,,,,,,,
TZ,Tanzania,TZ,,,,,,,,,,
UG,Uganda,UG,,,,,,,,,,
WCP,Western Cape,ZA,,,,,,,,,,
ZM,Zambia,ZM,,,,,,,,,,
ZW,Zimbabwe,ZW,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Country,Code,Description,,,,,,,,,,
,,Worldwide,,,,,,,,,,
BW,Botswana,,,,,,,,,,,
ET,Ethiopia,,,,,,,,,,,
KE,Kenya,,,,,,,,,,,
LS,Lesotho,,,,,,,,,,,
MG,Madagascar,,,,,,,,,,,
MU,Mauritius,,,,,,,,,,,
